n_items,depth,tie_probability,noise_scale,inversion_fraction,law,trials,d_adj_mean,d_adj_sd,kendall_mean,kendall_sd,spearman_mean,spearman_sd,top10_jaccard_mean,top10_jaccard_sd,stable_inversion_mean,stable_inversion_sd,floor_adjusted_kendall_mean,floor_adjusted_kendall_sd,floor_adjusted_spearman_mean,floor_adjusted_spearman_sd,floor_adjusted_jaccard_mean,floor_adjusted_jaccard_sd,d_adj_mae_to_latent_truth,d_adj_bias_to_latent_truth,kendall_mae_to_latent_truth,kendall_bias_to_latent_truth,spearman_mae_to_latent_truth,spearman_bias_to_latent_truth,top10_jaccard_mae_to_latent_truth,top10_jaccard_bias_to_latent_truth,stable_coverage_mean
100,80,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.07455923120089787,0.016146343311465423,0.018204444444444443,0.0061531747499196324,0.01189928892889289,0.003275232619823097,0.15906360306360304,0.1323779619277907,0.00217988031414736,0.0016696012496983234,0.015422424242424243,0.005534321880411467,0.009621137113711372,0.0031309387261262756,0.10088178488178488,0.11682983878292064,0.02472253749617387,0.0243854938271605,0.03196929292929293,-0.03196929292929293,0.0038316621662166216,0.00380015901590159,0.07254612054612054,-0.048676656676656674,0.7704646464646464
100,80,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.1391329275073972,0.019178606759734686,0.052847676767676766,0.012445499086854503,0.032344869486948695,0.0077229596955827335,0.3245834165834166,0.14789652043048404,0.020887673798948136,0.008118657864693873,0.050111919191919194,0.01200049549494577,0.030080393039303932,0.007504454831087467,0.25838761238761243,0.14033363627670362,0.03898464467911438,0.03898464467911438,0.04730060606060606,-0.04730060606060606,0.003698856885688569,0.0032115481548154814,0.06040359640359642,-0.04740859140859141,0.7418561616161616
100,80,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.2545999755127028,0.023900519619106286,0.1429753535353535,0.021661680152427403,0.10841640864086408,0.020185675013722638,0.5581411954059012,0.1371613838079896,0.11191420816053937,0.022725603295777896,0.1402410101010101,0.02119372460657639,0.10611376387638764,0.020076332423860307,0.4903463236110296,0.13963193847013794,0.05275714722987451,0.05275714722987451,0.058867474747474745,-0.058867474747474745,0.004336486648664866,0.0014374587458745878,0.045660750154558206,-0.03480537848804103,0.7113159595959596
100,80,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.45882648530762166,0.033446261326950055,0.3361228282828283,0.0349133024643701,0.35269536453645367,0.04608876900087478,0.8557705538355694,0.0898106843714928,0.3669869054647962,0.0439532263910947,0.33337272727272727,0.03461847617799305,0.3504432898289829,0.04607089163598267,0.7815514396164551,0.10966914506406927,0.057218808539944904,0.057218808539944904,0.06548484848484848,-0.06548484848484848,0.006346873687368736,-0.002842877287728772,0.017659958720330236,-0.01407860337117303,0.6963688888888889
100,160,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.010299726303438431,0.012746433218362314,0.0013224242424242424,0.0008149312873302291,0.0021246144614461447,0.0012757387513693986,0.025090909090909087,0.06277189158223398,0.0,0.0,-7.131313131313133e-05,0.0006966233173739785,0.0004544179417941795,0.0012575343694899003,-0.0005454545454545462,0.04467022357541407,0.010389479389858184,0.010299726303438431,0.0013224242424242424,0.0013224242424242424,0.0021246144614461447,0.0021246144614461447,0.025090909090909087,0.025090909090909087,0.8235890909090908
100,160,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.0874128568513417,0.0168541344980057,0.013246060606060607,0.005526255015615621,0.01304920192019202,0.0034235992458894167,0.1411475191475191,0.12290455563620814,0.0029025889576208227,0.002080579422633045,0.011844848484848486,0.005195629868772748,0.011365112511251125,0.0032773235309240495,0.10726873126873124,0.110714266767686,0.03732148709315376,0.037316695235180095,0.03685010101010101,-0.03685010101010101,0.004979342934293429,0.004968229822982298,0.08058408258408258,-0.07036363636363638,0.7784311111111112
100,160,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.15337530098969496,0.01841927222750147,0.043218989898989896,0.011707579900669457,0.03296759375937594,0.0076893585466152985,0.29537795537795536,0.14503009798325728,0.022331000325839328,0.008373026095381117,0.041825858585858584,0.011445787019084238,0.03127972697269727,0.007570145725350884,0.2532800532800533,0.13966275929483907,0.053835907050300995,0.053835907050300995,0.056320404040404046,-0.056320404040404046,0.0046976087608760885,0.004304071407140715,0.07043489843489846,-0.06427039627039628,0.7501745454545454
100,160,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.26908485511682484,0.025648786979306632,0.12942060606060607,0.02164665764462002,0.1081393189318932,0.021028275748910596,0.5490071693012869,0.14292566399458176,0.11534280988773339,0.023732382049162632,0.12808101010101008,0.021400163316054103,0.10644989198919894,0.020947649852666835,0.4981213884155061,0.1439207518234828,0.06845131976328946,0.06845131976328946,0.07121292929292929,-0.07121292929292929,0.004982313231323132,0.0020808130813081307,0.05098587360352066,-0.04489106644988998,0.7231664646464646
100,160,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.47067401974288336,0.03218962057302611,0.3174808080808081,0.03223201556824705,0.34672057905790576,0.043441193956237474,0.8455882447445915,0.08791549085745527,0.36402443141825075,0.04110457583565264,0.3161157575757576,0.0320905893099804,0.345043097809781,0.0434270841340214,0.7965276386839855,0.10017068960384909,0.07216614095500459,0.07216614095500459,0.0810270707070707,-0.0810270707070707,0.007318190819081908,-0.004526201620162014,0.02663906372265506,-0.022106211985468954,0.7074335353535354
100,5,0.1,1.0,0.0,student_t_heavy_tailed,500,0.023929816600346925,0.01889298247471672,0.028894949494949494,0.005360541550630276,0.007795511551155115,0.003096279319294503,0.18499900099900093,0.11974262894879233,0.0,0.0,0.002394747474747475,0.0059878929357614664,-0.0026090549054905493,0.00245200177729563,-0.03167399267399268,0.11871670976340161,0.02398630879502094,0.023929816600346925,0.028894949494949494,0.028894949494949494,0.007795511551155115,0.007795511551155115,0.18499900099900093,0.18499900099900093,0.7004125252525253
