analysis,metric,method,environment_key,predictor,scenario,heldout_environment_id,heldout_predictor,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_ps_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2582987996417455,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.7107350579814101,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_psn_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2627366177187631,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.7204895844448451,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,ptl_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.25243739943076093,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.6982521982991149,0.5,0.46
selective_risk_under_alternative_fidelity,delta_cosine,raw_normalized_uq,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.28,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,3.2236263302289387,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.21468389574978353,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.6338283854551438,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,u_only_rf,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.24912201062293732,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.8246405846738256,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,u_p_rf,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.21911189905870923,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.650622407424224,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,u_ps_rf,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.21529902169123047,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.6360686239470159,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,u_psn_rf,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.21531214652594075,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.6361167414231771,0.5,0.72
selective_risk_under_alternative_fidelity,delta_cosine,ptl_rf,frangieh_melanoma_coculture,mean_matching,leave_predictor_out,,mean_matching,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.2059669692513173,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.24,0.275,0.605105715820742,0.5,0.72
