comparison,left_environment_id,right_environment_id,perturbation_label,risk_left,risk_right,confidence_left,confidence_right,absolute_risk_change,response_program_shift,response_program_is_descriptive,risk_and_confidence_outcomes_used_for_evaluation_only,matching
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GAS5,0.5021011978804526,0.7975481474047197,0.9800023353920458,0.9478412669035569,0.2954469495242671,0.9035544277269657,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GPATCH4,0.7130660586019035,0.8128760723804301,0.8218547983480061,0.845088280335827,0.09981001377852661,0.8311053602093215,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GPI,1.078349971570326,1.1810135885836797,0.8866752731602331,0.8575716378810418,0.10266361701335369,0.8444161935796013,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GPNMB,0.5784597837287382,0.7661589781258061,0.9546182956974879,0.948620144613704,0.18769919439706795,0.7549133282355717,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GRN,0.6385856609825162,0.6763221365171386,0.9077344358513395,0.8195981345441036,0.03773647553462234,0.8229825399030115,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GSEC,0.6713358528420199,1.0262731036870931,0.9518691061241519,0.9198318269795855,0.3549372508450732,1.0228275607901915,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,GSN,0.558957602551672,0.7545320786270391,0.9292572000887981,0.8764665350719626,0.19557447607536704,0.8817427696298157,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HASPIN,0.6345557045655664,1.0402314205865266,0.9702428016215485,0.9293220376111352,0.4056757160209602,0.9412852080676757,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-A,0.6530773737294538,0.9277255326823064,0.8573991999163493,0.8542743590874413,0.27464815895285255,0.940865687323891,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-B,0.7215386419116794,0.8112692176979166,0.8539713092361404,0.8969464979073026,0.08973057578623722,0.8590021951832748,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-C,0.8918062824175834,0.8066566554239953,0.8220521292409719,0.8249648524858607,0.08514962699358808,0.8509363247745977,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-DRB5,0.4543412693172887,0.7519155829738225,0.9786369127361524,0.9496159351500966,0.29757431365653386,0.8486436329879641,1,1,exact_perturbation_label_intersection
