dataset_id,perturbation_label,split_half_cosine,left_signature_groups,right_signature_groups,left_cells,right_cells,gene_count,split_seed,reproducibility_unit,raw_cell_expression_split
NormanWeissman2019_filtered,SAMD1_UBASH3B,0.873906232596577,8,8,118,122,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SAMD1_ZBTB1,0.8033207483504206,5,8,65,98,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SET,0.9561150565053214,8,8,490,496,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SET_CEBPE,0.9235211980876158,8,8,327,331,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SET_KLF1,0.9261479085387684,8,8,330,335,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SGK1,0.8550298528783844,8,8,239,243,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SGK1_S1PR2,0.9096223211157077,8,8,178,180,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SGK1_TBX2,0.8955508817091028,8,8,173,176,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SGK1_TBX3,0.874765694620084,8,8,148,152,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SLC38A2,0.32596785883522966,8,8,165,167,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SLC4A1,0.9128398439128986,8,8,498,501,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SLC6A9,0.7543517042692692,8,8,277,281,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SNAI1,0.8171058071747309,8,8,231,235,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SNAI1_DLX2,0.723229667461807,2,3,23,34,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SNAI1_UBASH3B,0.7997613939509763,8,8,148,151,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SPI1,0.9591176413633146,8,8,302,307,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,STIL,0.5447743214572371,8,8,152,153,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TBX2,0.8806774124078793,8,8,343,347,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TBX3,0.8877973855596418,8,8,343,346,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TBX3_TBX2,0.9544744539073914,8,8,582,584,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TGFBR2,0.22630485121131708,8,8,320,325,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TGFBR2_C19orf26,0.7836329653457894,8,8,162,162,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TGFBR2_ETS2,0.5750554973396641,8,8,157,161,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TGFBR2_IGDCC3,0.7783842583016615,8,8,148,153,33694,20260907,raw_cells_within_reference_perturbation_strata,1
