aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,isotonic,150.0,0.7367973154601619,0.6598725530921195,0.07692476236804247,0.2196526789703629,0.7888860225243175,0.7197038562361784,0.7730303326860813,0.28,0.45833333333333337,0.6271584255204316,0.7213129336417007,0.6785651827793442
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,isotonic,150.0,0.6388723531652531,0.5572860846641202,0.08158626850113293,0.22209112978999201,0.7211698056434744,0.6357686477456734,0.6980986961168978,0.18666666666666665,0.31666666666666665,0.6380898395768707,0.7031692133559706,0.7618671313608109
environment_predictor_test,in_domain,,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,isotonic,144.0,0.39324845944919956,0.15396036889134213,0.23928809055785744,0.18209283520961123,0.3819881561267653,0.32584481681763644,0.37211854490071467,0.09722222222222221,0.1293103448275862,0.7293894804841163,0.5571041424699961,0.8637219567940787
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,isotonic,279.0,0.6876060615022787,0.5452544987238894,0.14235156277838923,0.2582994204350317,0.7693404845219682,0.7210008173620542,0.7557527011933877,0.44285714285714284,0.5133928571428572,0.7090949761348071,0.6020671834625323,0.5744458458744942
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,isotonic,99.0,0.8417958546169457,0.6756011572799809,0.1661946973369648,0.20681488934626974,0.8694694798346718,0.8596581423808393,0.8535394946546042,0.7,0.675,0.6006599479609237,0.6202213279678068,0.3510123496955087
environment_predictor_test,in_domain,,,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,identity_free_shared,isotonic,60.0,0.5030514316589235,0.4082545912481034,0.0947968404108201,0.16715409900044828,0.5429724515573561,0.5013252143437984,0.522076234643598,0.09999999999999998,0.0625,0.5220811617632973,0.5133928571428572,0.923718949508961
environment_predictor_test,in_domain,,,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,identity_free_shared,isotonic,114.0,0.5118825215921182,0.47955939323123536,0.03232312836088286,0.0859957559427672,0.5379503317239948,0.49997823548429027,0.5223240866394377,0.0,0.010869565217391353,0.3013112381180401,0.752212389380531,0.996200446549504
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,identity_free_shared,platt_logistic,150.0,0.8596965926759391,0.7384547946655021,0.121241798010437,0.24948650397616356,0.8490473596482163,0.8521792534347341,0.830345225471735,0.6799999999999999,0.5916666666666667,0.691567159837447,0.4969,0.3780281171553704
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,platt_logistic,150.0,0.7570806047449182,0.6598725530921195,0.09720805165279878,0.2241628481201053,0.7888860225243175,0.7621635457715185,0.7730303326860812,0.42666666666666664,0.45833333333333337,0.6390661345788866,0.6769258139121153,0.6834672997800953
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,platt_logistic,150.0,0.658050864350632,0.5572860846641202,0.10076477968651176,0.22294113007848076,0.7211698056434744,0.644489035142606,0.6987342428924054,0.21333333333333337,0.30833333333333335,0.6374128799821404,0.694019996227127,0.7673121801801541
environment_predictor_test,in_domain,,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,platt_logistic,144.0,0.38730774028801773,0.15396036889134213,0.2333473713966756,0.17879543429846925,0.3819881561267653,0.32584481681763644,0.37588333229588555,0.09722222222222221,0.1293103448275862,0.5369353778428034,0.5679442508710801,0.8591794166830672
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,platt_logistic,279.0,0.6865368634635521,0.5452544987238894,0.1412823647396627,0.27460990831046805,0.7693404845219682,0.7210008173620542,0.7557527011933868,0.44285714285714284,0.5133928571428572,0.7469549100903512,0.6260723514211888,0.6091137732329088
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,platt_logistic,99.0,0.8492519789989875,0.6756011572799809,0.1736508217190066,0.20800698531402026,0.8694694798346718,0.8528492672181511,0.8545472291250116,0.6799999999999999,0.675,0.605733376558818,0.6222334004024145,0.38731618867247153
