split_seed,comparison,left_environment_id,right_environment_id,predictor,method,n_shared_perturbations,n_rows,difficulty_left_mean_risk,difficulty_right_mean_risk,difficulty_mean_risk_gap,ranking_left_spearman,ranking_right_spearman,ranking_spearman_gap,centered_confidence_mapping_gap,additive_null_mse,interaction_mse,interaction_improvement,status,matched_perturbation_control,outcomes_used_for_evaluation_only
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,u_only_rf,11,22,0.7456854286969459,0.8067039995345272,-0.06101857083758133,-0.03636363636363637,0.20000000000000004,-0.23636363636363641,0.15631667222564338,0.03299122887320802,0.02843074096600999,0.004560487907198033,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,u_only_rf,10,20,0.8375569746464049,0.7512270758924391,0.0863298987539658,0.24924127290882647,0.3100318272768329,-0.060790554368006455,0.1348917205219463,0.018270227152278384,0.020028857772240928,-0.0017586306199625415,executed,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,mean_matching,ptl_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,mean_matching,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,mean_matching,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,ptl_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,ptl_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,ptl_rf,8,16,0.6163560619039601,0.7421209483352621,-0.12576488643130201,,,,,0.014751189801474274,0.01475118980147427,3.469446951953614e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,ptl_rf,12,24,0.659313095703541,0.7118444472928954,-0.0525313515893544,,,,,0.026169625056018136,0.026169625056018136,0.0,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,11,22,0.7820311744616316,0.6312209168966267,0.15081025756500488,,,,,0.034601911719048466,0.034601911719048466,8.66868918819092e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,raw_normalized_uq,8,16,0.6163560619039601,0.7421209483352621,-0.12576488643130201,,,,,0.014751189801474274,0.01475118980147427,3.469446951953614e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,12,24,0.659313095703541,0.7118444472928954,-0.0525313515893544,,,,,0.026169625056018136,0.026169625056018136,0.0,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,11,22,0.7820311744616316,0.6312209168966267,0.15081025756500488,,,,,0.03460191171904847,0.034601911719048466,8.944667923005412e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,u_only_rf,8,16,0.6163560619039601,0.7421209483352621,-0.12576488643130201,,,,,0.014751189801474274,0.01475118980147427,3.469446951953614e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,u_only_rf,12,24,0.659313095703541,0.7118444472928954,-0.0525313515893544,,,,,0.026169625056018136,0.026169625056018136,0.0,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,11,22,0.7820311744616316,0.6312209168966267,0.15081025756500488,,,,,0.034601911719048466,0.034601911719048466,8.66868918819092e-18,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,ptl_rf,8,16,0.7582531098709252,0.7704115099383082,-0.012158400067383002,0.7065994945288229,0.5269555552418339,0.17964393928698896,0.060455555190059476,0.02293261216125227,0.024628624137706612,-0.0016960119764543465,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,ptl_rf,12,24,0.8819644762696139,0.8741699046401212,0.007794571629492708,0.46153846153846156,0.3636363636363637,0.09790209790209786,0.038455253382305495,0.010255332288299604,0.010176594354268502,7.873793403109989e-05,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,ptl_rf,11,22,0.9387291288080326,0.8574052743645804,0.08132385444345225,0.3090909090909091,0.7454545454545456,-0.4363636363636365,0.07552577173175855,0.01904743940682557,0.017122727173850882,0.0019247122329746854,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,raw_normalized_uq,8,16,0.7582531098709252,0.7704115099383082,-0.012158400067383002,0.22754898976351917,0.4071929290505081,-0.1796439392869889,0.08661029933535537,0.02722384677173255,0.030173387652111715,-0.0029495408803791637,executed,shared perturbation_label,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,raw_normalized_uq,12,24,0.8819644762696139,0.8741699046401212,0.007794571629492708,0.41331061631962435,-0.04895104895104895,0.4622616652706733,0.10812889331989937,0.0113703243385508,0.009591582132095182,0.0017787422064556157,executed,shared perturbation_label,1
