comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,UBE2E1,0.1682908067032951,0.23687866091601867,-0.1377237219345106,-0.07610009600457662,0.14765843361812503,0.07907057940540146,0.8986410931772405,0.06858785421272356,4,4,11836,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,AKT2,0.16848181209977348,0.2252913839818448,-0.11467504156362016,-0.06269247074629285,0.12150893456122068,0.06469936267914932,0.9370050777877861,0.056809571882071336,4,4,12084,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,CNIH4,0.15239899738700072,0.20796945431682118,-0.11095723153385682,-0.05994360096760952,0.11734711861013813,0.06177666168031771,0.9820080834907953,0.05557045692982046,4,4,12480,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,COTL1,0.2695913317195594,0.3118812670991106,-0.08588364822305125,-0.04630097289149092,0.08967953477876946,0.04738959939921819,1.006744182670838,0.042289935379551225,2,2,13756,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,CTBP1,0.19692535222358393,0.2523109142085803,-0.1075164356364506,-0.05649715066083142,0.11350916182790895,0.058123599842912516,0.9115926604404166,0.05538556198499639,4,4,12999,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,DCAF13,0.3230722477692667,0.41544847258985257,-0.15707104258367405,-0.07483147108486193,0.17007873636479476,0.07770251154420883,0.9029623820632003,0.09237622482058588,3,3,10059,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,EPB41L2,0.15349236975737474,0.20441753642507782,-0.10593447650411915,-0.059045834322922125,0.11174902843704147,0.06082386176933836,0.9826724071048061,0.05092516666770308,4,4,12877,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,ETHE1,0.15488671187811742,0.21399014412931072,-0.11298237343064621,-0.05874876052489277,0.11961219785260069,0.060508765601407395,0.9446184420137633,0.0591034322511933,4,4,12504,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,GNG5,0.16454337101203648,0.2169738951303357,-0.11152323099237182,-0.06349033889000948,0.11797971548210028,0.06554919136380101,1.002522390958373,0.05243052411829921,4,4,12047,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,IFT25,0.15274866445563257,0.20338809123804488,-0.1052024467422962,-0.058548176748061995,0.11093549286300301,0.06029606608059067,0.9677013479867355,0.05063942678241232,4,4,12989,1,1,source_response_persistence_baseline
