source_environment_id,target_environment_id,metric_from,metric_to,state_from,state_to,n_perturbation_pairs,count,fraction,state_definition,crossfit_split
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,stable_p<q,29403,6115,0.2079719756487433,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,unresolved,29403,2333,0.07934564500221065,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,stable_p>q,29403,5206,0.17705676291534878,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,stable_p<q,29403,1075,0.03656089514675373,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,unresolved,29403,327,0.011121314151617183,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,stable_p>q,29403,699,0.023773084379144986,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,stable_p<q,29403,6535,0.22225623235724246,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,unresolved,29403,2139,0.07274767880828487,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,stable_p>q,29403,4974,0.16916641159065401,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p<q,stable_p<q,29403,8383,0.28510696187463863,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p<q,unresolved,29403,1505,0.05118525320545522,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p<q,stable_p>q,29403,2667,0.09070503009896949,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,unresolved,stable_p<q,29403,2444,0.08312076998945686,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,unresolved,unresolved,29403,656,0.022310648573274836,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,unresolved,stable_p>q,29403,1384,0.04707002686800667,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p>q,stable_p<q,29403,5169,0.17579838791960004,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p>q,unresolved,29403,1902,0.06468727680848893,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,delta_cosine,stable_p>q,stable_p>q,29403,5293,0.18001564466210931,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,stable_p<q,29403,5001,0.17008468523620038,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,unresolved,29403,968,0.03292181069958848,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,stable_p>q,29403,6586,0.2239907492432745,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,stable_p<q,29403,1979,0.0673060572050471,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,unresolved,29403,351,0.011937557392102846,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,stable_p>q,29403,2154,0.0732578308335884,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,stable_p<q,29403,6677,0.22708567153011597,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,unresolved,29403,879,0.02989490868278747,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,stable_p>q,29403,4808,0.16352072917729482,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,stable_p<q,stable_p<q,29403,8255,0.2807536645920484,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,stable_p<q,unresolved,29403,1082,0.03679896609189538,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,stable_p<q,stable_p>q,29403,3651,0.12417100295888174,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,unresolved,stable_p<q,29403,2092,0.07114920246233378,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,unresolved,unresolved,29403,449,0.015270550624085978,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,systema_centroid_accuracy,unresolved,stable_p>q,29403,2143,0.07288371934836581,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
