dataset,evidence_tier,source_environment_id,left_target_environment_id,right_target_environment_id,predictor,regime,metric,cell_budget,cell_budget_label,label_universe,n,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,stable_inversion_fraction,top_k_retention,normalized_regret,excess_regret,checksums,provenance,status
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,160,160,fixed matched universe at cell budget,139.0,0.3531131616445973,0.34768259305599,0.358508323775762,0.0697294338442289,0.0640149184999826,0.0754134084037117,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,20,20,fixed matched universe at cell budget,234.0,0.4182079405255371,0.4145879339226978,0.4217361646063363,0.0312717801988188,0.0262468972769401,0.0362910079111795,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,40,40,fixed matched universe at cell budget,223.0,0.3852842753066967,0.3827053623129856,0.3878427025680389,0.0433957500100997,0.0385723111003379,0.0480333023606565,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,80,80,fixed matched universe at cell budget,207.0,0.3547472757688038,0.3499600941169112,0.3595715882619638,0.0568586526585682,0.0534612783953222,0.0602003502024607,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,1000000000,full,fixed matched universe at cell budget,243.0,0.1785647245686231,0.1763446682549996,0.1807201646090534,0.0510612952133419,0.0483501191249729,0.0536134575120929,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,source_frozen_ensemble,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,canonical matched perturbation universe,,0.2801482542280414,0.25102336788507,0.3087847790507365,0.0526672394980905,0.0236570285506455,0.0816584833606109,-0.0554537415893798,-0.0976475268230587,-0.0142825968357883,0.7606110201854883,0.1181561708028499,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,10,10,fixed matched universe at cell budget,243.0,0.2750734052080854,0.2724749175254225,0.2775444115679806,-7.708963937919368e-05,-0.0021920098856125,0.0022056989649582,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,160,160,fixed matched universe at cell budget,139.0,0.2955096792131512,0.2915213046953741,0.2994319327146977,0.0194644284572342,0.0139081778055816,0.0246644423591561,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,20,20,fixed matched universe at cell budget,235.0,0.2862241619688428,0.2823003879493241,0.2898636721828211,0.0006255682851427,-0.0010898951324483,0.0023687640177001,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,40,40,fixed matched universe at cell budget,226.0,0.2775149131432317,0.275197607341855,0.2798345460504752,0.0078892166502786,0.0049933464437889,0.010770763684038,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
