source_environment_id,target_environment_id,source_target_orientation,left_target_environment_id,right_target_environment_id,metric,split_seed,cell_budget,cell_budget_label,cell_budget_order,universe_mode,decision_budget_fraction,k,n_items,retention,selected_target_risk,oracle_target_risk,random_target_risk,regret,normalized_regret,boundary_inversion,boundary_inversion_lower_bound,boundary_bound_holds,measurement_floor_regret,joint_floor_regret,excess_regret,joint_excess_regret,measurement_floor_status,joint_floor_status
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260915,10,10,1,matched_fixed,0.2,27,139,0.5,0.7382076317013674,0.729743856225209,0.7519390510609687,0.008463775476158453,0.3824530812622704,0.18667328042328044,0.06051587301587301,True,0.00859290477509872,0.012029747854738378,-0.00012912929894026703,-0.003565972378579925,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260915,10,10,1,matched_fixed,0.5,69,139,0.7246376811594202,0.7436147847255054,0.7393018846422366,0.7519390510609687,0.004312900083268789,0.3417224022729426,0.18902691511387165,0.07494824016563147,True,0.005288823755947858,0.008087478979381175,-0.0009759236726790688,-0.0037745788961123863,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260916,10,10,1,matched_fixed,0.05,6,139,0.041666666666666664,0.7409591699747092,0.7175768971804066,0.756319130630223,0.023382272794302522,0.5989611574428568,0.2149122807017544,0.041666666666666664,True,0.019300315689123215,0.020258536875378135,0.004081957105179307,0.003123735918924387,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260916,10,10,1,matched_fixed,0.1,13,139,0.23076923076923078,0.741477152943488,0.7243443006704706,0.756319130630223,0.017132852273017418,0.5330115102771312,0.21428571428571427,0.06135531135531136,True,0.013734837949870682,0.017991664264686683,0.0033980143231467363,-0.0008588119916692651,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260916,10,10,1,matched_fixed,0.2,27,139,0.4537037037037037,0.7410292947189342,0.7311603967806534,0.756319130630223,0.009868897938280857,0.39455225423819007,0.173859126984127,0.07299933862433862,True,0.011036763034498409,0.013574220448255089,-0.0011678650962175519,-0.0037053225099742317,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260916,10,10,1,matched_fixed,0.5,69,139,0.7427536231884058,0.747376445798456,0.7419950665191128,0.756319130630223,0.00538137927934304,0.3731909902713198,0.19616977225672877,0.0662008281573499,True,0.005095047087204707,0.007676864088427012,0.0002863321921383333,-0.0022954848090839712,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260917,10,10,1,matched_fixed,0.05,6,139,0.3333333333333333,0.733652112823724,0.7164322860626675,0.7520471308473322,0.017219826761056573,0.48565222524142493,0.20864661654135336,0.020676691729323307,True,0.017126076572875515,0.021496812488083328,9.375018818105763e-05,-0.004276985727026755,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260917,10,10,1,matched_fixed,0.1,13,139,0.34615384615384615,0.7360790904414456,0.7215455064308258,0.7520471308473322,0.014533584010619743,0.4769835372717761,0.21275946275946275,0.04578754578754579,True,0.014934504822425976,0.017792467648639936,-0.0004009208118062324,-0.003258883638020193,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260917,10,10,1,matched_fixed,0.2,27,139,0.46296296296296297,0.7368104168684004,0.7276905321223441,0.7520471308473322,0.009119884746056184,0.3746766335012773,0.1887400793650794,0.07027116402116401,True,0.010667642115167908,0.013773319641949536,-0.0015477573691117241,-0.004653434895893352,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260917,10,10,1,matched_fixed,0.5,69,139,0.7101449275362319,0.7435480142339173,0.7379964618723862,0.7520471308473322,0.0055515523615309315,0.3952451421823161,0.21050724637681162,0.0829192546583851,True,0.006843716745283834,0.008351344161079395,-0.0012921643837529029,-0.0027997917995484633,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
