n,mean_fidelity,median_fidelity,mean_spearman,mean_rmse,mean_true_norm,mean_pred_norm,mean_top_deg_overlap_at_50,aggregation_level,environment_id,environment_key,dataset_id,predictor,seed,split_id,uncertainty_source,linear_embedding_source,linear_reference_release,slim_embedding_path,training_gene_space_policy,training_gene_count,evaluation_gene_space,evaluation_gene_count,uq_mean_gene_variance,uq_median_gene_variance,uq_top_effect_variance,uq_cosine_disagreement,uq_effect_norm_variance
50.0,0.14223842540749915,0.14914698199334486,0.09418593285414156,0.03214873118639757,2.3441481590270996,1.0264095067977905,0.04644515196859713,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,strong_linear,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.14283652136670327,0.1432399887134133,0.096967811627643,0.0324082571315618,2.3441481590270996,1.068142056465149,0.045431247340749964,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,strong_linear,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.12740082725246504,0.11315993541516885,0.08478468138647009,0.03276427006276781,2.3441481590270996,1.0927650928497314,0.04187125783122612,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,strong_linear,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.27682308575203995,0.3069004684953468,0.21335592682234256,0.043566006521459394,3.262902021408081,0.9280853867530823,0.0892062652213109,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,mean_matching,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.28004655932785694,0.30817448433695516,0.21421978991632465,0.04354106699555301,3.262902021408081,0.9804511070251465,0.08926738485953324,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,mean_matching,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.2788680968196571,0.3068913796235351,0.21383270769822935,0.04357432823506503,3.262902021408081,0.9930461049079895,0.0853905782646972,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,mean_matching,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.08669962512292749,0.08718216934201285,0.06330114995803454,0.0569941735727995,3.262902021408081,2.8401665687561035,0.05057889025563683,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,slim_string,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.10505435135315068,0.09583017916290562,0.07794029610475933,0.05693058929547329,3.262902021408081,2.80668568611145,0.05834393442794685,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,slim_string,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.1057353082516593,0.09809352408167003,0.07683926592639889,0.055228680250477426,3.262902021408081,2.658519983291626,0.048895384424355495,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,slim_string,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.17634414617449692,0.17353256443788334,0.12941058872466668,0.045267413950361025,3.262902021408081,1.216395616531372,0.059348512892064165,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,strong_linear,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.19724402339786193,0.16141958540024048,0.14524367771188643,0.045305755605699036,3.262902021408081,1.269700288772583,0.07150317352720974,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,strong_linear,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.22550051332349086,0.2313700315531882,0.16953252594603657,0.04456691495101831,3.262902021408081,1.1743173599243164,0.07492507559225052,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,strong_linear,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.360805517248556,0.39298725187786776,0.25803782613177706,0.03341721078810907,2.653310537338257,0.9768511056900024,0.10675120530651692,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,mean_matching,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.3548836231759573,0.38633431990962036,0.2512612334363193,0.033446564131104514,2.653310537338257,0.9251634478569031,0.10562490563432866,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,mean_matching,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.35906451393925315,0.3909960918197791,0.2564958252608042,0.03342914730828567,2.653310537338257,0.9913371801376343,0.1112195296730844,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,mean_matching,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.13234492062122316,0.10378170483956717,0.08156065682706055,0.05715833808295866,2.653310537338257,3.6230628490448,0.05142548875118516,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,slim_string,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
