aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,information_set,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,strong_linear,U,u_only_rf,48.0,0.5349637349949536,0.18967289876892068,0.34529083622603296,0.2716341511028653,0.447306349696184,0.46105652824171833,0.44356005883949023,0.16666666666666663,0.15384615384615385,0.7426501980985017,0.4643874643874644,0.7852581479124523
environment_predictor_test,leave_predictor_out,,slim_string,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,slim_string,U,u_only_rf,48.0,0.28032391281376673,0.17436390373908395,0.10596000907468278,0.20448447390740596,0.4019947912583226,0.30704207387027077,0.3774726948371527,0.08333333333333337,0.17948717948717952,0.5961942252209846,0.721875,0.9369387558339463
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,mean_matching,U,u_only_rf,93.0,0.7915159927765815,0.5770056142740173,0.21451037850256416,0.35082270771191854,0.7793714046364927,0.7738077197275167,0.7801945505356191,0.4893617021276596,0.5066666666666666,0.9422415569317912,0.5,0.4838709677419355
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,strong_linear,U,u_only_rf,93.0,0.6772046611606543,0.5376240737491409,0.13958058741151336,0.2666591836799501,0.757343897686017,0.6995503161438427,0.746304580662102,0.42553191489361697,0.5333333333333333,0.7345708150349595,0.6046296296296296,0.6359581821006168
environment_predictor_test,leave_predictor_out,,slim_string,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,slim_string,U,u_only_rf,93.0,0.6964930097880078,0.5321191892393498,0.164373820548658,0.23602863919595068,0.7713061512433951,0.6742385966834361,0.755546583239981,0.42553191489361697,0.56,0.6661572465072491,0.6457739791073124,0.5519381305637869
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,mean_matching,U,u_only_rf,33.0,0.8873168748112927,0.7215386449312239,0.16577822988006885,0.3127426448410769,0.859642898564754,0.8497048259500148,0.8688327582564279,0.5882352941176471,0.6296296296296297,0.8246802715539194,0.5,0.3939393939393939
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,strong_linear,U,u_only_rf,33.0,0.8846444981912366,0.6007485958133527,0.28389590237788387,0.2765296681986639,0.8292160957791618,0.8301949339763075,0.8352175719298478,0.6470588235294117,0.6296296296296297,0.8078211620840449,0.46031746031746035,0.3496721618030764
environment_predictor_test,leave_predictor_out,,slim_string,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,slim_string,U,u_only_rf,33.0,0.8983978026640779,0.7578722046654124,0.14052559799866549,0.19293570441645236,0.9195494451600995,0.8890069345752852,0.9088912747182277,0.7647058823529411,0.7777777777777778,0.5775793240834594,0.6049382716049382,0.36396993810786915
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,mean_matching,U,u_only_rf,20.0,0.5176521073908924,0.3804257653013967,0.1372263420894957,0.06146866965693583,0.5087434064837357,0.48323909583265684,0.5126015514615948,0.0,0.0625,0.2640759796417823,0.5,0.95
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,strong_linear,U,u_only_rf,20.0,0.44846816458780686,0.3869144285229442,0.06155373606486264,0.4220089024816659,0.5047267864697625,0.4490150415996072,0.5080055707251159,0.0,0.0625,1.0643793110673618,0.7368421052631579,0.9852889124255428
