source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,status,n_labels,spearman,auroc_high_identifiable,mean_absolute_error,observed_positive_fraction,predicted_mean,outcome_not_used_as_feature
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,full,source_u_only,executed,243,-0.026503818428620082,0.4961387345888091,0.06909937173590897,0.9670781893004116,0.11620311170344214,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,full,ridge_source_features,executed,243,-0.00034121864818920875,0.5054193198753556,0.07057039143998947,0.9670781893004116,0.11624538559374038,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,10,source_u_only,executed,243,-0.1987122003927797,0.41647473242108113,0.03705065886077994,0.6831275720164609,0.022432404045054453,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,10,ridge_source_features,executed,243,-0.2248474143655465,0.4093618750846769,0.03750996954298616,0.6831275720164609,0.022278192617548497,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,20,source_u_only,executed,235,-0.12279631492235778,0.4483557873388382,0.03318496982317667,0.6808510638297872,0.02307937093840442,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,20,ridge_source_features,executed,235,-0.10990275040055736,0.46740547588005216,0.03394440261828338,0.6808510638297872,0.022861893906839605,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,40,source_u_only,executed,226,-0.07436437159418899,0.5061477014644843,0.030096534144266936,0.7123893805309734,0.021168403005779896,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,40,ridge_source_features,executed,226,-0.13481271290598948,0.4695747513509281,0.031486262776295355,0.7123893805309734,0.02078398331682648,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,80,source_u_only,executed,208,-0.10275949828759189,0.4837278106508876,0.035791150487831,0.8701923076923077,0.04380732037592628,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,80,ridge_source_features,executed,208,0.005186748620717879,0.5507581360946745,0.036660422787868505,0.8701923076923077,0.04359409028566662,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,160,source_u_only,executed,139,-0.19003530095178514,0.4685300207039337,0.04002392519369222,0.9424460431654677,0.05581263328359526,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,160,ridge_source_features,executed,139,-0.09069663523839312,0.4685300207039337,0.041163613440482756,0.9424460431654677,0.056027818534293665,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,full,source_u_only,executed,243,-0.18151942688741207,0.4272456306733506,0.04247080191167968,0.7366255144032922,0.04108743707085124,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,full,ridge_source_features,executed,243,0.047654379982079074,0.5196450345481642,0.042834880915818316,0.7366255144032922,0.040936791587592766,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,source_u_only,executed,243,-0.288107162055058,0.3621460506706408,0.02255654193478244,0.5555555555555556,0.004988376000045239,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,ridge_source_features,executed,243,-0.028815232306346146,0.49356455764801516,0.022512332495154393,0.5555555555555556,0.004996493952446036,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,source_u_only,executed,237,-0.09624924869362517,0.4600484261501211,0.0231350651692943,0.5654008438818565,0.006175874795703086,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,ridge_source_features,executed,237,-0.11174120309532878,0.453211793191853,0.023292231918799026,0.5654008438818565,0.006249585044393249,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,source_u_only,executed,225,-0.20176996464654215,0.43426042983565105,0.021665839070664248,0.6355555555555555,0.009596162610766604,True
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,ridge_source_features,executed,225,-0.26046256333296397,0.3905657395701643,0.021898650431669886,0.6355555555555555,0.00956870156608645,True
