split_seed,comparison,left_environment_id,right_environment_id,predictor,n_shared_perturbations,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,confidence_tracking_rate,n_confidence_comparable_inversions,risk_rank_spearman,risk_rank_kendall,method,response_program_shift_mean,response_program_shift_median,response_magnitude_change_mean,response_magnitude_change_median,response_shift_risk_change_spearman,n_response_shift_observations,response_genes,matched_perturbation_control,risk_and_confidence_outcomes_used_for_evaluation_only,response_program_is_descriptive
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,14,91,37,0.4065934065934066,0.24324324324324326,37,0.26593406593406593,0.18681318681318684,u_only_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,-0.1956043956043956,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,14,91,21,0.23076923076923078,0.19047619047619047,21,0.6879120879120879,0.5384615384615384,ptl_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.3406593406593406,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,14,91,21,0.23076923076923078,0.2857142857142857,21,0.6879120879120879,0.5384615384615384,raw_normalized_uq,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.3406593406593406,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,14,91,21,0.23076923076923078,0.14285714285714285,21,0.6879120879120879,0.5384615384615384,u_only_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.3406593406593406,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,11,55,14,0.2545454545454545,0.0,0,0.5636363636363637,0.4909090909090909,ptl_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.4000000000000001,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,11,55,14,0.2545454545454545,0.0,0,0.5636363636363637,0.4909090909090909,raw_normalized_uq,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.4000000000000001,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,11,55,14,0.2545454545454545,0.0,0,0.5636363636363637,0.4909090909090909,u_only_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.4000000000000001,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,11,55,17,0.3090909090909091,0.35294117647058826,17,0.5363636363636364,0.38181818181818183,ptl_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.3454545454545455,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,11,55,17,0.3090909090909091,0.058823529411764705,17,0.5363636363636364,0.38181818181818183,raw_normalized_uq,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.3454545454545455,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,11,55,17,0.3090909090909091,0.11764705882352941,17,0.5363636363636364,0.38181818181818183,u_only_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.3454545454545455,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,11,55,18,0.32727272727272727,0.05555555555555555,18,0.46363636363636374,0.34545454545454546,ptl_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.20000000000000004,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,11,55,18,0.32727272727272727,0.05555555555555555,18,0.46363636363636374,0.34545454545454546,raw_normalized_uq,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.20000000000000004,11,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,11,55,18,0.32727272727272727,0.1111111111111111,18,0.46363636363636374,0.34545454545454546,u_only_rf,0.7924819128579103,0.7938634061289039,0.040934007268132754,0.04642049344718791,0.20000000000000004,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,11,55,15,0.2727272727272727,0.0,0,0.5727272727272729,0.45454545454545453,ptl_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.1272727272727273,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,11,55,15,0.2727272727272727,0.0,0,0.5727272727272729,0.45454545454545453,raw_normalized_uq,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.1272727272727273,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,11,55,15,0.2727272727272727,0.0,0,0.5727272727272729,0.45454545454545453,u_only_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.1272727272727273,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,11,55,23,0.41818181818181815,0.43478260869565216,23,0.17272727272727276,0.16363636363636364,ptl_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,-0.3090909090909091,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,11,55,23,0.41818181818181815,0.08695652173913043,23,0.17272727272727276,0.16363636363636364,raw_normalized_uq,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,-0.3090909090909091,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,11,55,23,0.41818181818181815,0.17391304347826086,23,0.17272727272727276,0.16363636363636364,u_only_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,-0.3090909090909091,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,11,55,10,0.18181818181818182,0.2,10,0.8181818181818182,0.6363636363636364,ptl_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.10000000000000002,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,11,55,10,0.18181818181818182,0.3,10,0.8181818181818182,0.6363636363636364,raw_normalized_uq,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.10000000000000002,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,11,55,10,0.18181818181818182,0.5,10,0.8181818181818182,0.6363636363636364,u_only_rf,0.8518968927478056,0.8447322390949479,0.056309890216923876,0.051960163302319375,0.10000000000000002,11,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,8,28,9,0.32142857142857145,0.0,0,0.4761904761904762,0.3571428571428571,ptl_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.6190476190476191,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,8,28,9,0.32142857142857145,0.0,0,0.4761904761904762,0.3571428571428571,raw_normalized_uq,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.6190476190476191,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,8,28,9,0.32142857142857145,0.0,0,0.4761904761904762,0.3571428571428571,u_only_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.6190476190476191,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,8,28,7,0.25,0.14285714285714285,7,0.7142857142857144,0.4999999999999999,ptl_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.4047619047619048,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,8,28,7,0.25,0.0,7,0.7142857142857144,0.4999999999999999,raw_normalized_uq,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.4047619047619048,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,8,28,7,0.25,0.42857142857142855,7,0.7142857142857144,0.4999999999999999,u_only_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.4047619047619048,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,8,28,13,0.4642857142857143,0.15384615384615385,13,0.19047619047619052,0.07142857142857142,ptl_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.7142857142857144,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,8,28,13,0.4642857142857143,0.07692307692307693,13,0.19047619047619052,0.07142857142857142,raw_normalized_uq,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.7142857142857144,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,8,28,13,0.4642857142857143,0.23076923076923078,13,0.19047619047619052,0.07142857142857142,u_only_rf,0.8482582283633398,0.8658299076985838,0.14110258246749596,0.12572586167551816,0.7142857142857144,8,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,12,66,18,0.2727272727272727,0.0,0,0.6853146853146854,0.4545454545454545,ptl_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.39860139860139865,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,12,66,18,0.2727272727272727,0.0,0,0.6853146853146854,0.4545454545454545,raw_normalized_uq,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.39860139860139865,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,12,66,18,0.2727272727272727,0.0,0,0.6853146853146854,0.4545454545454545,u_only_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.39860139860139865,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,12,66,24,0.36363636363636365,0.6666666666666666,24,0.34965034965034975,0.2727272727272727,ptl_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,-0.2797202797202798,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,12,66,24,0.36363636363636365,0.16666666666666666,23,0.34965034965034975,0.2727272727272727,raw_normalized_uq,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,-0.2797202797202798,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,12,66,24,0.36363636363636365,0.375,24,0.34965034965034975,0.2727272727272727,u_only_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,-0.2797202797202798,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,12,66,10,0.15151515151515152,0.4,10,0.8811188811188813,0.6969696969696969,ptl_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.16783216783216784,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,12,66,10,0.15151515151515152,0.4,10,0.8811188811188813,0.6969696969696969,raw_normalized_uq,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.16783216783216784,12,8229,shared perturbation_label,1,1
20260927,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,12,66,10,0.15151515151515152,0.3,10,0.8811188811188813,0.6969696969696969,u_only_rf,0.8201637956758687,0.8087596878072535,0.07790452602950874,0.07426123017659231,0.16783216783216784,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,9,36,13,0.3611111111111111,0.0,0,0.41666666666666663,0.2777777777777778,ptl_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.7,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,9,36,13,0.3611111111111111,0.0,0,0.41666666666666663,0.2777777777777778,raw_normalized_uq,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.7,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,9,36,13,0.3611111111111111,0.0,0,0.41666666666666663,0.2777777777777778,u_only_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.7,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,9,36,23,0.6388888888888888,0.34782608695652173,23,-0.26666666666666666,-0.2777777777777778,ptl_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,0.3666666666666667,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,9,36,23,0.6388888888888888,0.0,22,-0.26666666666666666,-0.2777777777777778,raw_normalized_uq,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,0.3666666666666667,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,9,36,23,0.6388888888888888,0.391304347826087,23,-0.26666666666666666,-0.2777777777777778,u_only_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,0.3666666666666667,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,9,36,8,0.2222222222222222,0.0,8,0.7999999999999999,0.5555555555555556,ptl_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.41666666666666663,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,9,36,8,0.2222222222222222,0.0,8,0.7999999999999999,0.5555555555555556,raw_normalized_uq,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.41666666666666663,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,9,36,8,0.2222222222222222,0.25,8,0.7999999999999999,0.5555555555555556,u_only_rf,0.8269096664157964,0.814747096466252,0.04944821557422794,0.05170672047976354,-0.41666666666666663,9,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,12,66,26,0.3939393939393939,0.0,0,0.37762237762237766,0.2121212121212121,ptl_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,12,66,26,0.3939393939393939,0.0,0,0.37762237762237766,0.2121212121212121,raw_normalized_uq,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,12,66,26,0.3939393939393939,0.0,0,0.37762237762237766,0.2121212121212121,u_only_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,12,66,14,0.21212121212121213,0.07142857142857142,13,0.7692307692307694,0.5757575757575757,ptl_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.34965034965034975,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,12,66,14,0.21212121212121213,0.0,13,0.7692307692307694,0.5757575757575757,raw_normalized_uq,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.34965034965034975,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,12,66,14,0.21212121212121213,0.0,13,0.7692307692307694,0.5757575757575757,u_only_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.34965034965034975,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,12,66,17,0.25757575757575757,0.0,17,0.6433566433566434,0.4848484848484848,ptl_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,12,66,17,0.25757575757575757,0.0,15,0.6433566433566434,0.4848484848484848,raw_normalized_uq,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,12,66,17,0.25757575757575757,0.11764705882352941,17,0.6433566433566434,0.4848484848484848,u_only_rf,0.863394639908881,0.8640565278074959,0.1354915355393405,0.14554324955834694,-0.2937062937062937,12,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,8,28,8,0.2857142857142857,0.0,0,0.5476190476190477,0.42857142857142855,ptl_rf,0.7421748026744055,0.7612269774455114,0.059821471063681284,0.06714811351233965,-0.261904761904762,8,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,8,28,8,0.2857142857142857,0.0,0,0.5476190476190477,0.42857142857142855,raw_normalized_uq,0.7421748026744055,0.7612269774455114,0.059821471063681284,0.06714811351233965,-0.261904761904762,8,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,8,28,8,0.2857142857142857,0.0,0,0.5476190476190477,0.42857142857142855,u_only_rf,0.7421748026744055,0.7612269774455114,0.059821471063681284,0.06714811351233965,-0.261904761904762,8,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,8,28,15,0.5357142857142857,0.13333333333333333,15,-0.09523809523809526,-0.07142857142857142,ptl_rf,0.7421748026744055,0.7612269774455114,0.059821471063681284,0.06714811351233965,-0.261904761904762,8,8229,shared perturbation_label,1,1
20261007,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,8,28,15,0.5357142857142857,0.06666666666666667,15,-0.09523809523809526,-0.07142857142857142,raw_normalized_uq,0.7421748026744055,0.7612269774455114,0.059821471063681284,0.06714811351233965,-0.261904761904762,8,8229,shared perturbation_label,1,1
