scenario,environment_id,ptl_rf,u_only_rf,split_seed,delta_aurc_ptl_minus_u_only
leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5003749325009145,0.5091017323283328,20261017,-0.008726799827418308
leave_environment_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6456409298195211,0.6478632540132235,20261017,-0.002222324193702385
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.8267017602400086,0.8315503853992153,20260907,-0.004848625159206699
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.7460400929173902,0.7595435462012542,20260907,-0.013503453283864042
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6782369926494677,0.6861612310361315,20260907,-0.007924238386663784
leave_predictor_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.2671600506503832,0.39426105347443885,20260907,-0.12710100282405568
leave_predictor_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8401520498833207,0.8300541572164959,20260907,0.010097892666824815
leave_predictor_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5926988801937147,0.6197144498494592,20260907,-0.027015569655744476
leave_predictor_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5269464162529074,0.5388666370062332,20260907,-0.011920220753325772
leave_predictor_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6978508317825284,0.7148620503029003,20260907,-0.017011218520371907
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.8101823778828198,0.8234568727669626,20260917,-0.013274494884142785
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.7050444796158607,0.7041287050133443,20260917,0.0009157746025163505
