method,metric,estimate,ci_lower,ci_upper,n_resamples,n_valid,confidence,aggregation_level,baseline_method,resample_level,predictor,environment_id,split_family
support_novelty_only,aurc,0.364647550959844,0.3362056007466196,0.39546787195690913,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,auroc,0.5420559603066669,0.5123947540373307,0.5710705534695367,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,brier,0.26776396160581356,0.2493498590044085,0.286840475527666,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,excess_aurc,0.06757076817350799,0.06305294333990102,0.07300104477996698,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,ftr_at_50,0.5219330635136256,0.4810710144561145,0.573103641244507,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,ftr_at_80,0.532014434990748,0.48822947398943545,0.5823550485369391,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,log_loss,0.7495538330269882,0.7007567579711813,0.8000108201930854,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,risk_at_50,0.36360338023373856,0.33568929537370096,0.3947755345924567,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,risk_at_80,0.365306786237273,0.33735134728372385,0.39678458589795146,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,spearman_predicted_risk_realized_risk,0.05236244266643692,0.01279997279801856,0.09361210382337096,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,auprc,0.12043505815865048,0.0880924754363709,0.15611632305465564,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,aurc,-0.024545784516160546,-0.03136421450693905,-0.01757779121756402,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,auroc,0.19042238605694223,0.13562054598730364,0.25124360970242493,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,brier,-0.1711983931861567,-0.20433468560594806,-0.14484180616370426,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,excess_aurc,-0.024545784516160553,-0.03136421450693901,-0.017577791217564108,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,ftr_at_50,-0.09467404552854203,-0.1227688975893045,-0.06172809809055214,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
gbdt_full_id,ftr_at_80,-0.03707369709944325,-0.048068384522443684,-0.024951327295536844,200,200,0.95,paired_hierarchical_delta_ci,raw_normalized_uq,,all_pilot_predictors,macro,macro
