prediction_id,environment_id,predictor,uq_quantile,fidelity_delta_cosine,support_cells,perturbation_novelty
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.45041376,74,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__col1a1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.36840203,41,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__kmt2a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.33550426,33,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.2597413,48,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-ikzf3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.34268066,31,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__hk2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.19607747,34,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-col2a1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.19210638,30,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__sgk1-tbx2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5029331,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-tgfbr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.0657272,71,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.24259524,81,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-cnn1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.36403513,117,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-klf1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.15418212,64,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4-stil__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.078668,11,0.5
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set-cebpe__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.29896268,69,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__kiaa1804__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.19953594,29,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-tgfbr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.09402849,42,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-ikzf3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5958385,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__sgk1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.48900428,56,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__dlx2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.48348525,81,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.08108219,72,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cks1b__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3579909,36,0.35355339059327373
