aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_continuous_risk
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,raw_normalized_uq,1797.0,0.47499333260591486,0.07414141212380237,0.4738812411940533,0.471761732961835,0.5973303670745272,0.5841446453407511,0.26923599431752915,0.8166114535432657,0.4578771316522634,0.4071339512096973,-0.05072825704914287
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,platt_logistic,1797.0,0.4750690045278271,0.07421708404571459,0.47257848717385964,0.471761732961835,0.5951056729699666,0.5841446453407511,0.2648650510541636,0.7281261495706453,0.46302263030742435,0.4060648319250426,-0.04705352810419887
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,isotonic,1797.0,0.4751960013989643,0.0743440809168518,0.4736883779150189,0.4720424431430626,0.6017797552836486,0.5841446453407511,0.2759640152648988,0.7561545734471397,0.4562059061375868,0.4001820278453196,-0.06026599475391865
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,support_novelty_only,1797.0,0.471168484314184,0.07031656383207152,0.47274467096715145,0.47117762958022824,0.5828698553948832,0.566759388038943,0.2648400081676893,0.7265854709010174,0.500981694471837,0.42240056984024377,-0.01792834566931071
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,ptl_rf,1797.0,0.46279341477626096,0.06194149429414847,0.4690507850105825,0.4697544583260137,0.5583982202447164,0.5563282336578581,0.24515281571250566,0.6791472364674978,0.531724131811971,0.46200790529937386,0.035574078897037564
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,gbdt_uncalibrated,1797.0,0.4712013738870259,0.07034945340491339,0.4718678321665281,0.4712338943972152,0.5884315906562847,0.5709318497913769,0.24948435514103762,0.6889656330904634,0.4924595217392406,0.41115620126091573,-0.021060456410325102
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,ptl_context,1797.0,0.46831236013128624,0.06746043964917375,0.47022814315155925,0.468935249571463,0.5717463848720801,0.5563282336578581,0.2653537396975029,0.7259899366041432,0.5185748762266427,0.42875970464924323,0.02536884652115776
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,ptl_full,1797.0,0.4714878943058216,0.07063597382370912,0.4725853014137717,0.4721015949922197,0.5628476084538376,0.5674547983310153,0.24012376539085928,0.6690761652996015,0.5183708054584495,0.4292108897488711,-0.011805684764234315
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,dataset_heldout_split,ptl_no_id,1797.0,0.4690642789214805,0.06821235843936801,0.46998197230493727,0.4700755652508873,0.5650723025583982,0.5584144645340752,0.25401597352966226,0.6988352839606113,0.5250151468675771,0.4348349964115837,0.02251096274017668
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,random_split,raw_normalized_uq,112.0,0.44739392933296807,0.08581649134150315,0.43681627630472314,0.44714408746998136,0.4107142857142857,0.4555555555555556,0.5228681393821792,1.7882657896711385,0.48887096774193545,0.5320562524760257,-0.015110875730344756
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,random_split,platt_logistic,112.0,0.44581648565287746,0.08423904766141255,0.43271301244177657,0.44535969914221724,0.3928571428571429,0.4555555555555556,0.34624206043911737,0.913655803943014,0.49467741935483867,0.5431652541242048,-0.012069908087607203
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,random_split,isotonic,112.0,0.44979396622974654,0.08821652823828163,0.4479930224271292,0.44948222986163777,0.5,0.4666666666666667,0.3589325002221231,0.9491408396240951,0.4391935483870968,0.5193632481464514,-0.11355793214200294
predictor_environment_split,mean_global,env__replogleweissman2022-rpe1__rpe1__rna__baseline,random_split,support_novelty_only,112.0,0.4200044932883904,0.05842705529692549,0.42422452854849063,0.4312460274474385,0.4107142857142857,0.38888888888888884,0.28891325497250275,0.7759243142444703,0.591774193548387,0.6296713657593754,0.26680220043051905
